id,date,content,url,likes,retweets,reply_count,hashtags,media_type,media_url,media_path
s1361706910702067714,2021-02-16 16:00:01+00:00,"Hot or cold, do non-dairy your way. The Honey Almondmilk Flat White and Honey Almondmilk Cold Brew are here. 🍯 https://t.co/zaI0dsCku2",https://twitter.com/Starbucks/status/1361706910702067714,690,99,80,,video,https://video.twimg.com/ext_tw_video/1360340238350995458/pu/pl/KIv26NDwP4FIby4X.m3u8?tag=10,Starbucks_media/s1361706910702067714.mp4
s1360982138653351937,2021-02-14 16:00:02+00:00,"Roses are red.
We love Cold Brew.
Here is a love note
From us to you. 💕

Happy #ValentinesDay. https://t.co/arlRvCR99u",https://twitter.com/Starbucks/status/1360982138653351937,1938,263,57,['ValentinesDay'],photo,https://pbs.twimg.com/media/EuDlbjXVoAIMDUj?format=jpg&name=large,Starbucks_media/s1360982138653351937.jpg
s1360257360883777541,2021-02-12 16:00:01+00:00,Cheers to full cups and full hearts. 💕☕ #ValentinesDay https://t.co/fuXB3hJXf1,https://twitter.com/Starbucks/status/1360257360883777541,2412,337,65,['ValentinesDay'],photo,https://pbs.twimg.com/media/Et_O1kgUcAAHZSi?format=jpg&name=large,Starbucks_media/s1360257360883777541.jpg
s1358807811573112839,2021-02-08 16:00:02+00:00,Cold Brew is so hot right now. ❄️ https://t.co/YtgAusfCcF,https://twitter.com/Starbucks/status/1358807811573112839,1368,128,35,,photo,https://pbs.twimg.com/media/EtgVrGOVoAAuTmk?format=jpg&name=large,Starbucks_media/s1358807811573112839.jpg
s1357358254444134405,2021-02-04 16:00:01+00:00,Good on the go with the non-dairy Honey Almondmilk Flat White. 🍯 https://t.co/xFmYHmtMdk,https://twitter.com/Starbucks/status/1357358254444134405,567,54,33,,photo,https://pbs.twimg.com/media/EtV5uD2VkAIA7nC?format=jpg&name=large,Starbucks_media/s1357358254444134405.jpg
s1356995866532306944,2021-02-03 16:00:01+00:00,"We teamed up with @Headspace on 5 mindfulness exercises to help you savor your coffee moment even more. They’re available for free, for everyone. ☕ https://t.co/oRzKOPEPvL https://t.co/OLO7w8TQxT",https://twitter.com/Starbucks/status/1356995866532306944,327,56,15,,video,https://video.twimg.com/ext_tw_video/1356991863341817856/pu/vid/1280x720/qWMk--GmU2FfuN-W.mp4?tag=10,Starbucks_media/s1356995866532306944.mp4
s1356678779951841281,2021-02-02 19:00:01+00:00,"Enjoy single-origin Starbucks Reserve coffees now available at select U.S. Starbucks stores. Discover new flavors with our seasonal releases, Guatemala Huehuetenango and Ethiopia Yirgacheffe Chelelektu. https://t.co/wSOozVnI0W",https://twitter.com/Starbucks/status/1356678779951841281,362,42,15,,photo,https://pbs.twimg.com/media/EtLmVOwU4AIdmjZ?format=jpg&name=large,Starbucks_media/s1356678779951841281.jpg
s1355183930962567169,2021-01-29 16:00:01+00:00,Thank you for inspiring us with the best advice you've received over coffee. ☕💚 https://t.co/1IVhaPfTek,https://twitter.com/Starbucks/status/1355183930962567169,699,109,28,,photo,https://pbs.twimg.com/media/Es3F0GyU4Ao5ngz?format=jpg&name=large,Starbucks_media/s1355183930962567169.jpg
s1355183930962567169,2021-01-29 16:00:01+00:00,Thank you for inspiring us with the best advice you've received over coffee. ☕💚 https://t.co/1IVhaPfTek,https://twitter.com/Starbucks/status/1355183930962567169,699,109,28,,photo,https://pbs.twimg.com/media/Es3FfYtUwAIlpCd?format=jpg&name=large,Starbucks_media/s1355183930962567169.jpg
s1355183930962567169,2021-01-29 16:00:01+00:00,Thank you for inspiring us with the best advice you've received over coffee. ☕💚 https://t.co/1IVhaPfTek,https://twitter.com/Starbucks/status/1355183930962567169,699,109,28,,photo,https://pbs.twimg.com/media/Es3FgPSU4AQICLk?format=jpg&name=large,Starbucks_media/s1355183930962567169.jpg
s1355183930962567169,2021-01-29 16:00:01+00:00,Thank you for inspiring us with the best advice you've received over coffee. ☕💚 https://t.co/1IVhaPfTek,https://twitter.com/Starbucks/status/1355183930962567169,699,109,28,,photo,https://pbs.twimg.com/media/Es3FhFGU0A4o7af?format=jpg&name=large,Starbucks_media/s1355183930962567169.jpg
s1354459153121603584,2021-01-27 16:00:01+00:00,"For a subtly sweet treat.

☕ Honey Almondmilk Cold Brew (10g sugar)
☕ Caffé Misto (10g sugar)
☕ Jade Citrus Mint® Brewed Tea (0g sugar)
☕ Chai Tea (0g sugar)
☕ Iced Starbucks® Blonde Espresso Americano (0g sugar)
☕ Peach Tranquility® Tea (0g sugar) https://t.co/toczT8oPOM",https://twitter.com/Starbucks/status/1354459153121603584,843,99,88,,photo,https://pbs.twimg.com/media/Essvq8rUcAA2A-X?format=jpg&name=large,Starbucks_media/s1354459153121603584.jpg
s1354096763024498690,2021-01-26 16:00:00+00:00,"Whether across the table or virtually across the world, good conversations happen over coffee. ☕ https://t.co/Ar4baf3xQd",https://twitter.com/Starbucks/status/1354096763024498690,535,50,54,,photo,https://pbs.twimg.com/media/EsnKc1_UYAUSJlM?format=jpg&name=large,Starbucks_media/s1354096763024498690.jpg
s1352647211356741633,2021-01-22 16:00:00+00:00,Follow the stars for little ways to recharge during your coffee break. ✨ https://t.co/Os2uSQm16A,https://twitter.com/Starbucks/status/1352647211356741633,1203,184,39,,photo,https://pbs.twimg.com/media/EsSligsVcAIa7ms?format=jpg&name=large,Starbucks_media/s1352647211356741633.jpg
s1352647211356741633,2021-01-22 16:00:00+00:00,Follow the stars for little ways to recharge during your coffee break. ✨ https://t.co/Os2uSQm16A,https://twitter.com/Starbucks/status/1352647211356741633,1203,184,39,,photo,https://pbs.twimg.com/media/EsSllgXVEAAp724?format=jpg&name=large,Starbucks_media/s1352647211356741633.jpg
s1352647211356741633,2021-01-22 16:00:00+00:00,Follow the stars for little ways to recharge during your coffee break. ✨ https://t.co/Os2uSQm16A,https://twitter.com/Starbucks/status/1352647211356741633,1203,184,39,,photo,https://pbs.twimg.com/media/EsSlnbHVEAElOud?format=jpg&name=large,Starbucks_media/s1352647211356741633.jpg
s1352647211356741633,2021-01-22 16:00:00+00:00,Follow the stars for little ways to recharge during your coffee break. ✨ https://t.co/Os2uSQm16A,https://twitter.com/Starbucks/status/1352647211356741633,1203,184,39,,photo,https://pbs.twimg.com/media/EsSlopLUYAA9gEN?format=jpg&name=large,Starbucks_media/s1352647211356741633.jpg
s1351560051828264960,2021-01-19 16:00:01+00:00,It’s never too cold for Cold Brew. Vanilla Sweet Cream Cold Brew ❄️ https://t.co/kcYb1uaMpf,https://twitter.com/Starbucks/status/1351560051828264960,2029,201,95,,photo,https://pbs.twimg.com/media/EsGzdGXUYAEfj7m?format=jpg&name=large,Starbucks_media/s1351560051828264960.jpg
s1350110500663615488,2021-01-15 16:00:01+00:00,Get that to-do list done with the non-dairy Honey Almondmilk Flat White. 🍯 [US only] https://t.co/2hPCVCWSX3,https://twitter.com/Starbucks/status/1350110500663615488,557,62,58,,video,https://video.twimg.com/ext_tw_video/1349870467138506752/pu/vid/720x720/m7zNtuivrPrZ7DFz.mp4?tag=10,Starbucks_media/s1350110500663615488.mp4
s1349748107404341249,2021-01-14 16:00:00+00:00,"Something for every cold coffee lover. 

Find these five Cold Brews in the Starbucks app. 
❄️ Salted Caramel Cream Cold Brew
❄️ Nitro Cold Brew
❄️ Honey Almondmilk Cold Brew
❄️ Cold Brew, add Vanilla Sweet Cream Cold Foam 
❄️ Cold Brew, add Cold Foam https://t.co/kEoHQiGkKu",https://twitter.com/Starbucks/status/1349748107404341249,764,90,47,,photo,https://pbs.twimg.com/media/Erpp2sfVcAAX8A5?format=jpg&name=large,Starbucks_media/s1349748107404341249.jpg
s1349038430664204298,2021-01-12 17:00:00+00:00,"Because there’s always time for some you time, the new Pistachio Latte is perfect any time of day. 💚 https://t.co/Qjut4MviV7",https://twitter.com/Starbucks/status/1349038430664204298,1585,131,158,,video,https://video.twimg.com/ext_tw_video/1348785783281315841/pu/vid/720x720/895PHxP7oqfkxjHn.mp4?tag=10,Starbucks_media/s1349038430664204298.mp4
s1347714667603365890,2021-01-09 01:19:50+00:00,https://t.co/XyVJVcDzDe,https://twitter.com/Starbucks/status/1347714667603365890,9409,804,362,,photo,https://pbs.twimg.com/media/ErQLO5gVEAAZcUi?format=jpg&name=large,Starbucks_media/s1347714667603365890.jpg
s1346849008526872579,2021-01-06 16:00:01+00:00,"Uh huh, honey. The new, non-dairy Honey Almondmilk Cold Brew is here.​ Enjoy our classic Cold Brew paired with honey and topped with almondmilk for a creamy finish. ✨ [US only] https://t.co/DLQ0OOANhT",https://twitter.com/Starbucks/status/1346849008526872579,1176,96,58,,photo,https://pbs.twimg.com/media/ErALhKVXYAIdWLs?format=jpg&name=large,Starbucks_media/s1346849008526872579.jpg
s1346456417910353923,2021-01-05 14:00:00+00:00,"Introducing the all new Pistachio Latte. Start your new year off with sips of creamy, dreamy deliciousness sprinkled with a brown-buttery topping. 💚 [US + Canada] https://t.co/VJayC2Q7ye",https://twitter.com/Starbucks/status/1346456417910353923,3619,250,402,,video,https://video.twimg.com/ext_tw_video/1346219495585509376/pu/vid/320x320/fJ_XSTcdUtN6GuGc.mp4?tag=10,Starbucks_media/s1346456417910353923.mp4
