id,date,content,url,likes,retweets,reply_count,hashtags,media_type,media_url,media_path
s634788584013307904,2015-08-21 18:06:06+00:00,Experience the power of the V6 Absolute until Aug 22 at @festmodedesign. #BringDysonHome #AdoptezDyson #FMD15 #MTL http://t.co/X0n8vC4Y2w,https://twitter.com/Dyson/status/634788584013307904,9,9,1,"['BringDysonHome', 'AdoptezDyson', 'FMD15', 'MTL']",photo,https://pbs.twimg.com/media/CM842e9WoAA8_F8?format=jpg&name=large,Dyson_media/s634788584013307904.jpg
s632940558218952705,2015-08-16 15:42:43+00:00,Tune into the @QVC #tsv to see V6 Absolute. #cordlessontheq http://t.co/mE7NbGuSOo,https://twitter.com/Dyson/status/632940558218952705,2,5,3,"['tsv', 'cordlessontheq']",photo,https://pbs.twimg.com/media/CMioFJEUYAAZC3L?format=jpg&name=large,Dyson_media/s632940558218952705.jpg
s630909752395087872,2015-08-11 01:13:01+00:00,Sick of untangling your headphones? Problem solved with this simple #lifehack @buzzfeed @WSJ http://t.co/ZPDLIOB4eQ http://t.co/JYnmoi2wpB,https://twitter.com/Dyson/status/630909752395087872,12,11,0,['lifehack'],photo,https://pbs.twimg.com/media/CMFxE24UEAAJyMO?format=jpg&name=large,Dyson_media/s630909752395087872.jpg
s628934415775875072,2015-08-05 14:23:44+00:00,"“When I came across a Product Design degree – I knew straight away it was the path for me."" #ILookLikeAnEngineer http://t.co/oX7jy5EtcU",https://twitter.com/Dyson/status/628934415775875072,15,8,0,['ILookLikeAnEngineer'],photo,https://pbs.twimg.com/media/CLpshHTXAAAHAxl?format=jpg&name=large,Dyson_media/s628934415775875072.jpg
s628873645423730688,2015-08-05 10:22:15+00:00,"“I work on Dyson's cordless technology; tackling design challenges &amp; improving performance."" #ILookLikeAnEngineer http://t.co/wVE9zl3jUN",https://twitter.com/Dyson/status/628873645423730688,14,11,2,['ILookLikeAnEngineer'],photo,https://pbs.twimg.com/media/CLo1P01XAAAPfaD?format=jpg&name=large,Dyson_media/s628873645423730688.jpg
s625587991591952384,2015-07-27 08:46:14+00:00,Sterling job @Chrisfroome! A cyclist in the #TDF2015 averages 486k pedal strokes - that's 90 revolutions a minute! http://t.co/meRcdAdAEr,https://twitter.com/Dyson/status/625587991591952384,2,5,1,['TDF2015'],photo,https://pbs.twimg.com/media/CK6I9oqWsAAuaxb?format=png&name=large,Dyson_media/s625587991591952384.jpg
s620217467403698176,2015-07-12 13:05:41+00:00,"Rain is threatening at Wimbledon. Fortunately, the famous retractable roof can keep the crowds dry. #Wimbledon http://t.co/8zqpMR1Kr7",https://twitter.com/Dyson/status/620217467403698176,7,11,1,['Wimbledon'],photo,https://pbs.twimg.com/media/CJt0fQDWEAA8cSF?format=jpg&name=large,Dyson_media/s620217467403698176.jpg
s618613000522612736,2015-07-08 02:50:07+00:00,We've been keeping @ashleyjoanhart warm this morning at the opening of #msfw #hotandcool http://t.co/rrTaR6rMgn,https://twitter.com/Dyson/status/618613000522612736,7,17,2,"['msfw', 'hotandcool']",photo,https://pbs.twimg.com/media/CJXBPw1WoAE1Oth?format=jpg&name=large,Dyson_media/s618613000522612736.jpg
s618057060794691584,2015-07-06 14:01:00+00:00,"If you’re feeling the heat, cool down quickly by rubbing ice on your wrists. #SummerScience http://t.co/7sBXEwTKb2",https://twitter.com/Dyson/status/618057060794691584,15,14,0,['SummerScience'],photo,https://pbs.twimg.com/media/CJPHnxHWIAA9UBF?format=png&name=large,Dyson_media/s618057060794691584.jpg
s616199594918182912,2015-07-01 11:00:06+00:00,Canada Day can be moose-y in more ways than one.#HappyCanadaDay #MoosePuns http://t.co/0HyneF9ZlB,https://twitter.com/Dyson/status/616199594918182912,11,9,0,"['HappyCanadaDay', 'MoosePuns']",photo,https://pbs.twimg.com/media/CI0uRBcWwAUzYPk?format=png&name=large,Dyson_media/s616199594918182912.jpg
